sku;nome;nomeml;descricao;fornecedor;marca;lead_time;estoque;peso;altura;largura;comprimento;cubagem;Sku-fiscal;Nome-fiscal;ean;ncm;isbn;origem;imagens;atributos;conteudo_da_embalagem;dimensoes;Cor;Garantia;Material;valor;cat_b2w;cat_cnova;cat_mercado_livre;cat_tamarindos;cat_walmart;cat_netshoes;cat_amazon
RV-36502705;Banqueta Natal Amarela;Banqueta Natal Amarela;Banqueta Com Estrutura Em Aço Revestida Em Polipropileno, Giratória Com Regulagem De Altura Através De Pistão De Aço A Gás, Base E Apoia Pés Em Polipropileno Marca Rivatti;Rivatti;Rivatti;15;15;76;58;52;7.1;0.2292;36502705;Banqueta Natal Amarela;7,89952E+12;9401.30.90;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502705.jpg;;;;;;;645.9;;;MLB106882;;;;
RV-36503151;Banco Olinda Pelo Preto;Banco Olinda Pelo Preto;Banco Em Madeira, Estofado Com Espuma E Revestido Em Pelo Artificial (100% Poliester).;Rivatti;Rivatti;15;30;48;43;43;4;0.0887;36503151;Banco Olinda Pelo Preto;7,89952E+12;9401.61.00;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36503151.jpg;;;;;;;321.9;;;MLB106661;;;;
RV-36503150;Banco Olinda Pelo Marrom Mescla;Banco Olinda Pelo Marrom Mescla;Banco Em Madeira, Estofado Com Espuma E Revestido Em Pelo Artificial (100% Poliester).;Rivatti;Rivatti;15;30;48;43;43;4;0.0887;36503150;Banco Olinda Pelo Marrom Mescla;7,89952E+12;9401.61.00;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36503150.jpg;;;;;;;321.9;;;MLB106661;;;;
RV-36502854;Tamborete Aracaju Abs Preto;Tamborete Aracaju Abs Preto;Tamborete Em Abs, Com Formato Oval, Com Detalhes Em Onda, Possui Tampo Na Parte Superior Em Pu Para O Acesso Interno E Armazenamento De Objetos.;Rivatti;Rivatti;15;8;46.5;41;41;3.95;0.0781;36502854;Tamborete Aracaju Abs Preto;7,89952E+12;9401.80.00;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502854.jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502854(2).jpg;;;;;;;340.9;;;MLB106882;;;;
RV-36502853;Tamborete Aracaju Abs Branco;Tamborete Aracaju Abs Branco;Tamborete Em Abs, Com Formato Oval, Com Detalhes Em Onda, Possui Tampo Na Parte Superior Em Pu Para O Acesso Interno E Armazenamento De Objetos.;Rivatti;Rivatti;15;8;46.5;41;41;3.95;0.0781;36502853;Tamborete Aracaju Abs Branco;7,89952E+12;9401.80.00;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502853.jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502853(2).jpg;;;;;;;340.9;;;MLB106882;;;;
RV-36502855;Tamborete Aracaju Abs Vermelho;Tamborete Aracaju Abs Vermelho;Tamborete Em Abs, Com Formato Oval, Com Detalhes Em Onda, Possui Tampo Na Parte Superior Em Pu Para O Acesso Interno E Armazenamento De Objetos.;Rivatti;Rivatti;15;8;46.5;41;41;3.95;0.0781;36502855;Tamborete Aracaju Abs Vermelho;7,89952E+12;9401.80.00;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502855.jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502855(2).jpg;;;;;;;340.9;;;MLB106882;;;;
RV-36502856;Tamborete Aracaju Abs Dourado C/Glitter;Tamborete Aracaju Abs Dourado C/Glitter;Tamborete Em Abs, Com Formato Oval, Com Detalhes Em Onda, Possui Tampo Na Parte Superior Em Pu Para O Acesso Interno E Armazenamento De Objetos.;Rivatti;Rivatti;15;6;46.5;41;41;3.95;0.0781;36502856;Tamborete Aracaju Abs Dourado C/Glitter;7,89952E+12;9401.80.00;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502856.jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502856(2).jpg;;;;;;;340.9;;;MLB106882;;;;
RV-36502571;Cadeira Ingrid Mad.Sering.Linho Cinza;Cadeira Ingrid Mad.Sering.Linho Cinza;Cadeira De Madeira Seringueira, Com Assento Estofado E Revestido Em Linho.;Rivatti;Rivatti;15;8;82;50.5;54;6;0.2236;36502571;Cadeira Ingrid Mad.Sering.Linho Cinza;7,89952E+12;9401.61.00;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502571.jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502571(2).jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502571(3).jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502571(4;;;;;;;477.9;;;MLB186027;;;;
RV-36502572;Cadeira Ingrid Mad.Sering.Linho Verde;Cadeira Ingrid Mad.Sering.Linho Verde;Cadeira De Madeira Seringueira, Com Assento Estofado E Revestido Em Linho.;Rivatti;Rivatti;15;15;82;50.5;54;6;0.2236;36502572;Cadeira Ingrid Mad.Sering.Linho Verde;7,89952E+12;9401.61.00;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502572.jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502572(2).jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502572(3).jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502572(4;;;;;;;477.9;;;MLB186027;;;;
RV-36502625;Cadeira Alana Recouro Cinza;Cadeira Alana Recouro Cinza;Cadeira Estofada E Revestida Em Bonded Leather. Cadeira Com Estrutura Em Tubo De Metal, Diâmetro 22Mm. Revestimento De Couro Vegetal Reconstituído. Sem Braços, Com Qutro Pernas Individuais De Apoio.;Rivatti;Rivatti;15;50;93;47;45;5.45;0.1966;36502625;Cadeira Alana Recouro Cinza;7,89952E+12;9401.79.00;;1;http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502625.jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502625(2).jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502625(3).jpg|http://tamarindos.com.br/imagems/AnaMunoz/Rivatti/36502625(4;;;;;;;426.9;;;MLB186027;;;;
