sku;nome;nomeml;descricao;fornecedor;marca;lead_time;estoque;peso;altura;largura;comprimento;cubagem;Sku-fiscal;Nome-fiscal;ean;ncm;isbn;origem;imagens;atributos;conteudo_da_embalagem;dimensoes;Cor;Garantia;Material;valor;cat_b2w;cat_cnova;cat_mercado_livre;cat_tamarindos;cat_walmart;cat_netshoes;cat_amazon
DF1000;MASSAGEADOR TOTAL RELAX 110 V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR TOTAL RELAX 110 V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR TOTAL RELAX + MINI MASSAGEADOR PORTÁTIL<br/><br/>MASSAGEADOR TOTAL RELAX <br/>• Cabeça com 2 extremidades: um ponto fixo para massagear por todo o corpo e um ponto que permite troca de acessórios rosqueáveis.<br/>• Massageador de pontas múltip;BTC;G-LIFE;5;100;0,5;0,08;0,12;0,41;;;;7898927160159;90191000;2;;http://tamarindos.com.br/imagems/fotos_novas/DF1000.jpg|http://tamarindos.com.br/imagems/fotos_novas/df1000_2.png| http://www.qualitashop.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/mini_massageador_glife.jpg|http://www;;;;;12;;109,9;13|1186|2478|6596;;MLB180327;;;;
DF1000B;MASSAGEADOR TOTAL RELAX 220V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR TOTAL RELAX 220V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR TOTAL RELAX + MINI MASSAGEADOR PORTÁTIL<br/><br/>MASSAGEADOR TOTAL RELAX <br/>• Cabeça com 2 extremidades: um ponto fixo para massagear por todo o corpo e um ponto que permite troca de acessórios rosqueáveis.<br/>• Massageador de pontas múltip;BTC;G-LIFE;5;100;0,5;0,08;0,12;0,41;;;;7899308705600;90191000;2;;http://tamarindos.com.br/imagems/fotos_novas/DF1000.jpg|http://tamarindos.com.br/imagems/fotos_novas/df1000_2.png| http://www.qualitashop.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/mini_massageador_glife.jpg|http://www;;;;;12;;109,9;13|1186|2478|6596;;MLB180327;;;;
DF3000;MASSAGEADOR MASTER 110V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR MASTER 110V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR MASTER + MINI MASSAGEAGOR PORTÁTIL<br/><br/>• Design anatômico e arrojado com massagem suave e confortável<br/>• Massageia cada parte do corpo, elimina fadigas e alivia dores musculares<br/>• Ativa a circulação sanguínea, dando alívio imediato;BTC;G-LIFE;5;100;0,9;0,08;0,1;0,37;;;;7898927160173;90191000;2;;http://tamarindos.com.br/imagems/fotos_novas/df3000aeb.png|http://www.qualitashop.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/mini_massageador_glife.jpg|http://www.qualitashop.com.br/media/catalog/product/cache/1/image/;;;;;12;;159,9;13|1186|2478|6596;;MLB180327;;;;
DF3000B;MASSAGEADOR MASTER 220V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR MASTER 220V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR MASTER + MINI MASSAGEAGOR PORTÁTIL<br/><br/>• Design anatômico e arrojado com massagem suave e confortável<br/>• Massageia cada parte do corpo, elimina fadigas e alivia dores musculares<br/>• Ativa a circulação sanguínea, dando alívio imediato;BTC;G-LIFE;5;100;0,9;0,02;0,18;0,18;;;;7899308705617;90191000;2;;http://tamarindos.com.br/imagems/fotos_novas/df3000aeb.png|http://www.qualitashop.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/mini_massageador_glife.jpg|http://www.qualitashop.com.br/media/catalog/product/cache/1/image/;;;;;12;;159,9;13|1186|2478|6596;;MLB180327;;;;
DF4000A;MASSAGEADOR SUPER 110V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR SUPER 110V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR SUPER + MINI MASSAGEAGOR PORTÁTIL<br/><br/>• Massagem e calor<br/>• Liga/Desliga com 3 opções<br/>• Cabo longo ajustável até 90 graus<br/>• Cabeça com função 3 pontos magnéticos para acessórios<br/>• Flexibilidade para melhor ajuste junto ao c;BTC;G-LIFE;5;100;0,9;0,11;0,11;0,48;;;;7898927160180;90191000;2;;http://tamarindos.com.br/imagems/fotos_novas/DF4000.jpg|http://tamarindos.com.br/imagems/fotos_novas/df4000aeb.png|http://www.qualitashop.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/mini_massageador_glife.jpg|http://www;;;;;12;;129,9;13|1186|2478|6596;;MLB180327;;;;
KE1000;IRRIGADOR ORAL JET HIGIENE BUCAL DENTES G-LIFE;IRRIGADOR ORAL JET HIGIENE BUCAL DENTES G-LIFE;Irrigador Oral Jet - G-LIFE<br/>• Design Moderno e Compacto<br/>• Bocais de Reposição<br/>• LED indicador de pressão da água<br/>• Controle de Velocidade do Jato<br/>• Capacidade de 600ml<br/>• Base com pés anti-deslizantes<br/>• Elimina Bactérias<br/>• R;BTC;G-LIFE;5;100;0,95;0,1;0,2;0,3;;;;7899308796769;85098090;2;;https://c.mlcdn.com.br/470x352/irrigador-oralg-life-ke1000-200474400.jpg|http://www.g-life.com.br/imagens_src/ke1000.png;;;;;12;;399,9;13|1192|2489|6625;;MLB70647;;;;
LG100;MINI MASSAGEADOR PORTÁTIL ;MINI MASSAGEADOR PORTÁTIL ;MINI MASSAGEADOR PORTÁTIL<br/>• Divertido e prático, o Mini Massageador da G-LIFE acompanha você em qualquer<br/>lugar! <br/>• Com design moderno e compacto proporciona uma massagem suave e confortável. <br/>• Utilize em todas as partes do corpo, fazendo ;BTC;G-LIFE;5;100;0,6;0,12;0,11;0,1;;;;7899308747181;90191000;2;;http://www.qualitashop.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/mini_massageador_glife.jpg|http://www.qualitashop.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/mini_massageador_glife;;;;;3;;39,9;13|1186|2478|6596;;MLB180327;;;;
LG500A;MASSAGEADOR SQUALO ANATÔMICO 2 INTENSIDADES 110V ;MASSAGEADOR SQUALO ANATÔMICO 2 INTENSIDADES 110V ;Massageador de alta potência com formato anatômico. <br/>Sua moderna tecnologia, aliada a massagem tradicional, proporciona resultados e efeitos notáveis em sua saúde e bem estar. Ideal para massagear diversas partes do corpo.<br/><br/>• Melhora a circula;BTC;G-LIFE;5;100;0,9;0,1;0,07;0,32;;;;7899308705587;90191000;2;;http://tamarindos.com.br/imagems/fotos_novas/LG500.jpg | http://palmipe.com.br/massageador-corporal-squalo-g-life;;;;;12;;100;13|1186|2478|6596;;MLB180327;;;;
LG500B;MASSAGEADOR SQUALO ANATÔMICO 2 INTENSIDADES 220V ;MASSAGEADOR SQUALO ANATÔMICO 2 INTENSIDADES 220V ;Massageador de alta potência com formato anatômico. <br/>Sua moderna tecnologia, aliada a massagem tradicional, proporciona resultados e efeitos notáveis em sua saúde e bem estar. Ideal para massagear diversas partes do corpo.<br/><br/>• Melhora a circula;BTC;G-LIFE;5;100;0,9;0,1;0,07;0,32;;;;7899308705594;90191000;2;;http://tamarindos.com.br/imagems/fotos_novas/LG500.jpg | http://palmipe.com.br/massageador-corporal-squalo-g-life;;;;;12;;100;13|1186|2478|6596;;MLB180327;;;;
DF4000B;MASSAGEADOR SUPER 220V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR SUPER 220V + MINI MASSAGEAGOR PORTÁTIL;MASSAGEADOR SUPER + MINI MASSAGEAGOR PORTÁTIL<br/><br/>• Massagem e calor<br/>• Liga/Desliga com 3 opções<br/>• Cabo longo ajustável até 90 graus<br/>• Cabeça com função 3 pontos magnéticos para acessórios<br/>• Flexibilidade para melhor ajuste junto ao c;BTC;G-LIFE;5;100;0,9;0,1;0,08;0,45;;;;7898927160197;90191000;2;;http://tamarindos.com.br/imagems/fotos_novas/DF4000.jpg|http://tamarindos.com.br/imagems/fotos_novas/df4000aeb.png|http://www.qualitashop.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/mini_massageador_glife.jpg|http://www;;;;;12;;129,9;13|1186|2478|6596;;MLB180327;;;;
