sku;nome;nomeml;descricao;fornecedor;marca;lead_time;estoque;peso;altura;largura;comprimento;cubagem;Sku-fiscal;Nome-fiscal;ean;ncm;isbn;origem;imagens;atributos;conteudo_da_embalagem;dimensoes;Cor;Garantia;Material;valor;cat_b2w;cat_cnova;cat_mercado_livre;cat_tamarindos;cat_walmart;cat_netshoes;cat_amazon
IMP91257;Carrinho Travel System Nexus Cosco Preto;Carrinho Travel System Nexus Cosco Preto;Carrinho com função berço, fechamento prático ao alcance das mãos, rodas largas e capota extensível e bebê conforto incluído com posições fixa e de balanço. Carrinho com múltiplas posições de reclínio incluindo o modo mais deitado tipo berço, desde o nasc;Dorel;Cosco;5;100;14,16;0,54;0,82;0,46;0;IMP91257;;7898509476623;87150000;;2;http://tamarindos.com.br/imagems/fotos_novas/nexuspreto2.jpg | http://tamarindos.com.br/imagems/fotos_novas/nexuspreto4.jpg | http://tamarindos.com.br/imagems/fotos_novas/nexuspreto1.jpg | http://tamarindos.com.br/imagems/fotos_novas/nexuspreto3.jpg;;1 carrinho, 1 bebê conforto e 2 manuais de instruções;107.5x57x90cm;Preto;12;;999,9;12|3654|3|1;;MLB204893;;;;
IMP91258;Carrinho Travel System Nexus Cosco Rosa;Carrinho Travel System Nexus Cosco Rosa;Carrinho com função berço, fechamento prático ao alcance das mãos, rodas largas e capota extensível e bebê conforto incluído com posições fixa e de balanço. Carrinho com múltiplas posições de reclínio incluindo o modo mais deitado tipo berço, desde o nasc;Dorel;Cosco;5;100;14,16;0,54;0,82;0,46;0;IMP91258;;7898509476630;87150000;;2;http://tamarindos.com.br/imagems/fotos_novas/nexusrosa1.jpg | http://tamarindos.com.br/imagems/fotos_novas/nexusrosa3.jpg | http://tamarindos.com.br/imagems/fotos_novas/nexusrosa2.jpg | http://tamarindos.com.br/imagems/fotos_novas/nexusrosa4.jpg;;1 carrinho, 1 bebê conforto e 2 manuais de instruções;107.5x57x90cm;Rosa;12;;999,9;12|3654|3|1;;MLB204893;;;;
CAX90239;Carrinho Travel System Airway Safety 1st Full Black ;Carrinho Travel System Airway Safety 1st Full Black ;Carrinho de alumínio com fechamento ultra-compacto (pocket) para crianças desde o nascimento, função berço, bebê conforto incluído com base para veículos.  Assento com camada extra de conforto e toque suave, reclinável em múltiplas posições, incluindo a f;Dorel;Safety 1st;5;0;14;0,62;0,73;0,54;0;CAX90239;;7898509476906;87150000;;2;http://tamarindos.com.br/imagems/fotos_novas/d288_airway_safety_fullblack_padrao_IMG_0602.jpg | http://tamarindos.com.br/imagems/fotos_novas/d288_airway_safety_fullblack_moises_IMG_0616.jpg | http://tamarindos.com.br/imagems/fotos_novas/d288TS_airway_safe;;1 carrinho, 1 bebê conforto, 1 base veicular, 1 conjunto de adaptadores e 2 manuais de instruções;100x51x87cm;Preto;12;;1699,9;12|3654|3|1;;MLB73965;;;;
CAX90240;Carrinho Travel System Airway Safety 1st Full Red;Carrinho Travel System Airway Safety 1st Full Red;Carrinho de alumínio com fechamento ultra-compacto (pocket) para crianças desde o nascimento, função berço, bebê conforto incluído com base para veículos.  Assento com camada extra de conforto e toque suave, reclinável em múltiplas posições, incluindo a f;Dorel;Safety 1st;5;0;14;0,62;0,73;0,54;0;CAX90240;;7898509476913;87150000;;2;http://tamarindos.com.br/imagems/fotos_novas/d288_airway_safety_fullred_padrao_IMG_0602.jpg | http://tamarindos.com.br/imagems/fotos_novas/d288TS_airway_safety_fullred_travel_IMG_0618.jpg | http://tamarindos.com.br/imagems/fotos_novas/d288_airway_safety_f;;1 carrinho, 1 bebê conforto, 1 base veicular, 1 conjunto de adaptadores e 2 manuais de instruções;100x51x87cm;Vermelho;12;;1699,9;12|3654|3|1;;MLB73965;;;;
IMP91142;CARRINHO UMBRELLA SAFETY 1st COMPA CITY II  POP Black;CARRINHO UMBRELLA SAFETY 1st COMPA CITY II  POP Black;Carrinho Guarda-chuva que possui 4 posições de reclínio, apoio para os pés regulável, punho ergonômico com regulagem de altura. Ótimo para transportar,com fechamento ao alcance das mãos e estrutura de alumínio, leve e compacta. Manoplas ajustável em altur;Dorel;Safety 1st;5;100;9;0,95;0,3;0,24;0;IMP91142;;7898509475770;87150000;;2;http://tamarindos.com.br/imagems/fotos_novas/umbrella1.jpg | http://tamarindos.com.br/imagems/fotos_novas/umbrella3.jpg | http://tamarindos.com.br/imagems/fotos_novas/umbrella4.jpg | http://tamarindos.com.br/imagems/fotos_novas/umbrella2.jpg;;1 Carrinho CompaCityII + Manual de instruções;108x51x85;Preto;12;;749,9;12|3654|2|1;;MLB73965;;;;
