sku;nome;nomeml;descricao;fornecedor;marca;lead_time;estoque;peso;altura;largura;comprimento;cubagem;Sku-fiscal;Nome-fiscal;ean;ncm;isbn;origem;imagens;atributos;conteudo_da_embalagem;dimensoes;Cor;Garantia;Material;valor;cat_b2w;cat_cnova;cat_mercado_livre;cat_tamarindos;cat_walmart;cat_netshoes;cat_amazon
Cromus_112042;Colher de Plástico Prata E Branco ;Colher de Plástico Prata E Branco ;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Colher de plástico de 20cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Plástico<br/><strong>Cor: </strong> Prata, Branco<strong>Imagens meramente ilustrativas</strong>;Cromus;Cromus;15;0;1;20;20;20;;Cromus_112042;Colher de Plástico Prata E Branco ;7909107245051;39241000;;1;http://tamarindos.com.br/imagems/CromusTotal/112042.jpg;;;;;;;12,9;;;;;;;
Cromus_23410053;Copo Papel Bule Chá Das Meninas 240ml ;Copo Papel Bule Chá Das Meninas 240ml ;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Copo de papel cartão com formato de Bule<br/>Capacidade: 240ml<br/><br/>Procure todos os nossos produtos tema <strong>Chá das Meninas</strong><br/><strong>Material: </strong> Papel Cartão<br/><strong>Cor: </strong> Rosa<strong>Imagens meramente ilustrativas</strong>;Cromus;Cromus;15;0;1;20;20;20;;Cromus_23410053;Copo Papel Bule Chá Das Meninas 240ml ;7909107740297;48236900;;0;http://tamarindos.com.br/imagems/CromusTotal/23410053.jpg;;;;;;;19,9;;;;;;;
Cromus_23410054;Copinhos Para Doces Xicara Chá Das Meninas 100ml ;Copinhos Para Doces Xicara Chá Das Meninas 100ml ;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Copinho para doces e sorvete ou comida quente com capacidade de 100ml<br/>Suporta temperaturas frias e quentes!<br/>Temperatura máxima 90° e temperatura mínima -18°<br/><br/>Procure todos os nossos produtos tema <strong>Chá das Meninas</strong><br/><strong>Material: </strong> Papel Cartão<br/><strong>Cor: </strong> Colorido<strong>Imagens meramente ilustrativas</strong>;Cromus;Cromus;15;0;1;20;20;20;;Cromus_23410054;Copinhos Para Doces Xicara Chá Das Meninas 100ml ;7909107740310;48236900;;1;http://tamarindos.com.br/imagems/CromusTotal/23410054.jpg;;;;;;;19,9;;;;;;;
Cromus_23010632;Convites Ballet ;Convites Ballet ;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Convite para festa. Acompanha Fita de Cetim<br/>Dimensões: L 9 x A 13,5cm<br/><br/>Procure todos os nossos produtos tema <strong>Ballet</strong><br/><strong>Material: </strong> Papel<br/><strong>Cor: </strong> Rosa<strong>Imagens meramente ilustrativas</strong>;Cromus;Cromus;15;0;1;20;20;20;;Cromus_23010632;Convites Ballet ;7909107711532;49090000;;0;http://tamarindos.com.br/imagems/CromusTotal/23010632.jpg;;;;;;;17,9;;;;;;;
Cromus_23010633;Convites Ingresso Futebol ;Convites Ingresso Futebol ;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Convite para festa. <br/>Dimensões: L 14,5 x A 7cm<br/><br/>Procure todos os nossos produtos tema <strong>Futebol</strong><br/><strong>Material: </strong> Papel<br/><strong>Cor: </strong> Verde<strong>Imagens meramente ilustrativas</strong>;Cromus;Cromus;15;0;1;20;20;20;;Cromus_23010633;Convites Ingresso Futebol ;7909107711556;49090000;;0;http://tamarindos.com.br/imagems/CromusTotal/23010633.jpg;;;;;;;14,9;;;;;;;
