sku;nome;nomeml;descrição;fornecedor;marca;lead_time;estoque;peso;altura;largura;comprimento;cubagem;Sku-fiscal;Nome-fiscal;ean;ncm;isbn;origem;imagens;atributos;conteudo_da_embalagem;dimensoes;Cor;Garantia;Material;valor;cat_b2w;cat_cnova;cat_mercado_livre;cat_tamarindos;cat_walmart;cat_netshoes;cat_amazon
BL-372121.372122.372123;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Preto, Vermelho, Cinza;Kit 3 Capas de Almofada Veludo Premium Preto;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372121.372122.372123;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Preto, Vermelho, Cinza;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_1.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372121.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372122.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372123.png;;;;;;;;;;MLB186461;;;;
BL-372127.372131.372132;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Amarelo, Cinza, Branco;Kit 3 Capas de Almofada Veludo Premium Amarelo;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372127.372131.372132;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Amarelo, Cinza, Branco;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_2.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372127.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372131.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372132.png;;;;;;;;;;MLB186461;;;;
BL-372128.372129.372130;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Cinza, Amarelo, Branco;Kit 3 Capas de Almofada Veludo Premium Cinza;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372128.372129.372130;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Cinza, Amarelo, Branco;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_3.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372128.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372129.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372130.png;;;;;;;;;;MLB186461;;;;
BL-372133.372134.372135;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Cinza, Azul, Branco;Kit 3 Capas de Almofada Veludo Premium Cinza;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372133.372134.372135;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Cinza, Azul, Branco;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_4.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372133.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372134.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372135.png;;;;;;;;;;MLB186461;;;;
BL-372136.372137.372138;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Azul, Cinza, Branco;Kit 3 Capas de Almofada Veludo Premium Azul;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372136.372137.372138;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Azul, Cinza, Branco;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_5.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372136.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372137.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372138.png;;;;;;;;;;MLB186461;;;;
BL-372139.372140.372141;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Branco, Preto, Bege;Kit 3 Capas de Almofada Veludo Premium Branco;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372139.372140.372141;Kit 3 Capas de Almofada Veludo Premium 43 x 43 cm Branco, Preto, Bege;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_6.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372139.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372140.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372141.png;;;;;;;;;;MLB186461;;;;
BL-372142.372143.372144;Kit 3 Capas de Almofada Veludo Premium Cachorros 43 x 43 cm Branco, Preto;Kit 3 Capas de Almofada Veludo Premium Cachorros Branco;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372142.372143.372144;Kit 3 Capas de Almofada Veludo Premium Cachorros 43 x 43 cm Branco, Preto;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_7.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372142.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372143.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372144.png;;;;;;;;;;MLB186461;;;;
BL-372145.372146.372147;Kit 3 Capas de Almofada Veludo Premium Fashion 43 x 43 cm Preto, Branco, Vermelho;Kit 3 Capas de Almofada Veludo Premium Fashion Preto;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372145.372146.372147;Kit 3 Capas de Almofada Veludo Premium Fashion 43 x 43 cm Preto, Branco, Vermelho;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_8.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372145.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372146.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372147.png;;;;;;;;;;MLB186461;;;;
BL-372151.372152.372153;Kit 3 Capas de Almofada Velveteen 43 x 43 cm Amarelo, Cinza;Kit 3 Capas de Almofada Velveteen Amarelo;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372151.372152.372153;Kit 3 Capas de Almofada Velveteen 43 x 43 cm Amarelo, Cinza;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_9.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372151.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372152.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372153.png;;;;;;;;;;MLB186461;;;;
BL-372154.372155.372156;Kit 3 Capas de Almofada Velveteen 43 x 43 cm Branco, Preto;Kit 3 Capas de Almofada Velveteen Branco;As almofadas da Belchior se caracterizam pela ótima qualidade. Todas possuem zíper invisível e excelente acabamento. Além disso, possuem o tamanho perfeito para decorar qualquer ambiente, seja sofá, cama, chão ou onde você preferir. Aproveite! :)<br/><str;Belchior;Belchior;15;99999;1;20;15;3;;BL-372154.372155.372156;Kit 3 Capas de Almofada Velveteen 43 x 43 cm Branco, Preto;;6304.93.00;;0;http://tamarindos.com.br/imagems/AnaMunoz/Belchior/Kit_10.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372154.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372155.png|http://tamarindos.com.br/imagems/AnaMunoz/Belchior/372156.png;;;;;;;;;;MLB186461;;;;
