sku;nome;nomeml;descricao;fornecedor;marca;lead_time;estoque;peso;altura;largura;comprimento;cubagem;Sku-fiscal;Nome-fiscal;ean;ncm;isbn;origem;imagens;atributos;conteudo_da_embalagem;dimensoes;Cor;Garantia;Material;valor;cat_b2w;cat_cnova;cat_mercado_livre;cat_tamarindos;cat_walmart;cat_netshoes;cat_amazon
Cromus_23700085;10 Bandejas Laminadas Ouro R6  Decoração Festas;10 Bandejas Laminadas Ouro R6  Decoração Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Bandeja para servir<br/>Dimensões: C 47 x L 38,5 x A 1,3cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Papelão<br/><strong>Cor: </strong> Ouro<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;144;1;1;1;1;1;23700085;10 Bandejas Laminadas Ouro R6  Decoração Festas;7909107568860;48115129;;0;http://tamarindos.com.br/imagems/CromusTotal/23700085.jpg|http://tamarindos.com.br/imagems/Bases_Laminadas/Bases_laminadas%20(1).jpg;;;;Ouro;90 dias;Papelão;;;;;;;;
Cromus_23700084;10 Bandejas Laminadas Ouro R7  Decoração Festas;10 Bandejas Laminadas Ouro R7  Decoração Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Bandeja para servir<br/>Dimensões: C 51,7 x L 43,5 x A 1,3cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Papelão<br/><strong>Cor: </strong> Ouro<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;5;1;1;1;1;1;23700084;10 Bandejas Laminadas Ouro R7  Decoração Festas;7909107568853;48115129;;0;http://tamarindos.com.br/imagems/CromusTotal/23700084.jpg|http://tamarindos.com.br/imagems/Bases_Laminadas/Bases_laminadas%20(1).jpg;;;;Ouro;90 dias;Papelão;;;;;;;;
Cromus_23700002;10 Bandejas Laminadas Prata R6  Decoração Festas;10 Bandejas Laminadas Prata R6  Decoração Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Bandeja para servir<br/>Dimensões: C 47 x L 38,5 x A 1,3cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Papelão<br/><strong>Cor: </strong> Prata<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;61;1;1;1;1;1;23700002;10 Bandejas Laminadas Prata R6  Decoração Festas;7909107361546;48115129;;0;http://tamarindos.com.br/imagems/CromusTotal/23700002.jpg|http://tamarindos.com.br/imagems/Bases_Laminadas/Bases_laminadas%20(1).jpg;;;;Prata;90 dias;Papelão;;;;;;;;
Cromus_23700003;10 Bandejas Laminadas Prata R7  Decoração Festas;10 Bandejas Laminadas Prata R7  Decoração Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Bandeja para servir<br/>Dimensões: C 51,7 x L 43,5 x A 1,3cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Papelão<br/><strong>Cor: </strong> Prata<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;13;1;1;1;1;1;23700003;10 Bandejas Laminadas Prata R7  Decoração Festas;7909107361553;48115129;;0;http://tamarindos.com.br/imagems/CromusTotal/23700003.jpg|http://tamarindos.com.br/imagems/Bases_Laminadas/Bases_laminadas%20(1).jpg;;;;Prata;90 dias;Papelão;;;;;;;;
Cromus_23010267;10 Caixas Cupcake Carneirinho Médio Dec. Festas;10 Caixas Cupcake Carneirinho Médio Dec. Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Caixa para cupcake. O Wrap para o cupcake é vendido separadamente<br/>Dimensões: C 9 x L 9 x A 14cm<br/><br/>Procure todos os nossos produtos tema <strong>Sonho de Carneirinhos</strong><br/><strong>Material: </strong> Papel Cartão<br/><strong>Cor: </strong> Marfim, Verde<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;42;1;1;1;1;1;23010267;10 Caixas Cupcake Carneirinho Médio Dec. Festas;7909107534810;48192000;;0;http://tamarindos.com.br/imagems/CromusTotal/23010267.jpg|http://tamarindos.com.br/imagems/Sonho_de_Carnerinhos/Carneirinho.jpg;;;;Marfim, Verde;90 dias;Papel Cartão;;;;;;;;
Cromus_253520;10 Caixas Cupcake com Alça Candy Colors Dec. Festas;10 Caixas Cupcake com Alça Candy Colors Dec. Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Linda caixa para cupcakes com Alça<br/>Dimensões: C 7 x L 7 x A 9cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Papel Cartão<br/><strong>Cor: </strong> Colorido<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;43;1;1;1;1;1;253520;10 Caixas Cupcake com Alça Candy Colors Dec. Festas;7909107049512;48192000;;0;http://tamarindos.com.br/imagems/CromusTotal/253520.jpg|http://tamarindos.com.br/imagems/Cupcake/Cupcakes.jpg;;;;Colorido;90 dias;Papel Cartão;;;;;;;;
Cromus_265005;10 Caixas Cupcake com Alça Gourmet Decoração Festas;10 Caixas Cupcake com Alça Gourmet Decoração Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Linda caixa para cupcakes com Alça<br/>Dimensões: C 7 x L 7 x A 9cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Papel Cartão<br/><strong>Cor: </strong> Colorido<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;12;1;1;1;1;1;265005;10 Caixas Cupcake com Alça Gourmet Decoração Festas;7909107320758;48192000;;0;http://tamarindos.com.br/imagems/CromusTotal/265005.jpg|http://tamarindos.com.br/imagems/Cupcake/Cupcakes.jpg;;;;Colorido;90 dias;Papel Cartão;;;;;;;;
Cromus_23010378;10 Caixas Cupcake com Alça Listras/Poa Azul Dec. Festas;10 Caixas Cupcake com Alça Listras/Poa Azul Dec. Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Linda caixa para cupcakes com Alça<br/>Dimensões: C 7 x L 7 x A 9cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Papel Cartão<br/><strong>Cor: </strong> Azul<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;21;1;1;1;1;1;23010378;10 Caixas Cupcake com Alça Listras/Poa Azul Dec. Festas;7909107541702;48192000;;0;http://tamarindos.com.br/imagems/CromusTotal/23010378.jpg|http://tamarindos.com.br/imagems/Cupcake/Cupcakes.jpg;;;;Azul;90 dias;Papel Cartão;;;;;;;;
Cromus_23010379;10 Caixas Cupcake com Alça Listras/Poa Pink Dec. Festas;10 Caixas Cupcake com Alça Listras/Poa Pink Dec. Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Linda caixa para cupcakes com Alça<br/>Dimensões: C 7 x L 7 x A 9cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Papel Cartão<br/><strong>Cor: </strong> Pink<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;21;1;1;1;1;1;23010379;10 Caixas Cupcake com Alça Listras/Poa Pink Dec. Festas;7909107541726;48192000;;0;http://tamarindos.com.br/imagems/CromusTotal/23010379.jpg|http://tamarindos.com.br/imagems/Cupcake/Cupcakes.jpg;;;;Pink;90 dias;Papel Cartão;;;;;;;;
Cromus_23010377;10 Caixas Cupcake com Alça Listras/Poa Rosa Dec. Festas;10 Caixas Cupcake com Alça Listras/Poa Rosa Dec. Festas;Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês. Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><br/><strong>Características</strong><br/>Linda caixa para cupcakes com Alça<br/>Dimensões: C 7 x L 7 x A 9cm<br/><br/>Procure todos os nossos produtos tema <strong>Festa</strong><br/><strong>Material: </strong> Papel Cartão<br/><strong>Cor: </strong> Rosa<strong>Imagens meramente ilustrativas</strong>;cromus;cromus;9;3;1;1;1;1;1;23010377;10 Caixas Cupcake com Alça Listras/Poa Rosa Dec. Festas;7909107541689;48192000;;0;http://tamarindos.com.br/imagems/CromusTotal/23010377.jpg|http://tamarindos.com.br/imagems/Cupcake/Cupcakes.jpg;;;;Rosa;90 dias;Papel Cartão;;;;;;;;
