sku;nome;nomeml;descricao;fornecedor;marca;lead_time;estoque;peso;altura;largura;comprimento;cubagem;Sku-fiscal;Nome-fiscal;ean;ncm;isbn;origem;imagens;atributos;conteudo_da_embalagem;dimensoes;Cor;Garantia;Material;valor;cat_b2w;cat_cnova;cat_mercado_livre;cat_tamarindos;cat_walmart;cat_netshoes;cat_amazon
9788510052917;TIC-TAC - E TEMPO DE APRENDER;TIC-TAC - E TEMPO DE APRENDER;A Coleção Tic-Tac - É Tempo de Aprender - valoriza o conhecimento prévio dos alunos fazendo perguntas que antecipam o tema a ser estudado. Respeitando o desenvolvimento das crianças sem deixar de lado seu aspecto lúdico, os conteúdos são adequados à faixa etária e acompanhados de imagens bem coloridas relacionadas ao contexto. Pela variedade de cantigas, parlendas e adivinhas, os alunos aprendem a respeitar e valorizar a cultura popular. As atividades se destacam na diversidade e na utilização de materiais simples - papel, lápis de cor, giz de cera e tinta.;nl;Editora Do Brasil Di;10;0;2;20;20;15;0;9788510052917;TIC-TAC - E TEMPO DE APRENDER;9788510052917;49019900;9788510052917;1;http://tamarindos.com.br/imagems/all/9788510052917.jpg;;;;;90 dias;;99;;;;;;;
9788520003855;Livro - História: Sociedade & Cidadania 7 (Caderno Atividade);Livro - História: Sociedade & Cidadania 7 (Caderno Atividade);"Cada livro desta coleção reúne atividades de apoio ao volume correspondente da coleção História, Sociedade & Cidadania. Os livros trazem atividades que compreendem análise de texto e imagens, testes de múltipla escolha, jogos de palavras cruzadas, entre outras formas de aprofundar o conteúdo estudado. 

Imagens Meramente Ilustrativas.
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.";nl;Ftd;10;0;2;20;20;15;0;9788520003855;;9788520003855;49019900;9788520003855;1;http://tamarindos.com.br/imagems/all/9788520003855.jpg;;;;;90 dias;;99;;;;;;;
9788530966171;Recuperação judicial, extrajudicial e falência;Recuperação judicial, extrajudicial e falência;"Estes estudos procuram refletir o exame de pontos relativos ao direito concursal e falimentar. Busca trazer a seleção de decisões e petições na recuperação judicial e na falência. Esta obra contém - Sumário; I - Aspectos gerais da nova lei de recuperação de empresas e a jurisprudência do Superior Tribunal de Justiça; II - Petição de impetração de recuperação judicial; III - Decisão de deferimento do processamento da recuperação; IV - Decisão prorrogando prazo de suspensão das execuções; V - A declaração judicial da falência; VI - Sentença decretando a falência; VII - Sentença de habilitação do crédito falimentar; VIII - Ofício suscitando conflito de competência; IX - A teoria da desconsideração da personalidade jurídica na recuperação de empresa e na falência; X - Petição requerendo desconsideração da personalidade jurídica e extensão da falência a outra empresa do mesmo grupo econômico; XI - Sentença de extensão da falência; XII - A assembleia-geral de credores na falência; XIII - O crédito tributário na recuperação judicial e na falência; XIV - Créditos excluídos dos efeitos da recuperação judicial e da falência; XV - Os contratos na recuperação judicial e na falência; XVI - A recuperação extrajudicial; Bibliografia.";nl;definir;10;0;2;20;20;15;0;9788530966171;;9788530966171;49019900;9788530966171;1;http://tamarindos.com.br/imagems/all/9788530966171.jpg;;;;;90 dias;;99;;;;;;;
9788536512266;V-RAY 2.0 PARA SKETCHUP – RENDERIZAÇAO;V-RAY 2.0 PARA SKETCHUP – RENDERIZAÇAO;O livro aborda os assuntos relacionados a este programa, da representação gráfica foto realista de projetos 3D, partindo desde sua interface, indo para o estudo de insolação, ajustes de câmeras e de exposição de luz, passando cautelosamente sobre criação e aplicação de materiais e acabamentos usados na arquitetura e no design em geral, trata da inserção e ajustes de luzes em cena e suas diversas configurações e possibilidades, valorizando o projeto, além de ensinar todos os ajustes avançados de complemento do entorno do modelo e de renderização, volumetria e iluminação global (rebatimento de luz).;nl;definir;10;0;2;20;20;15;0;9788536512266;;9788536512266;49019900;9788536512266;1;http://tamarindos.com.br/imagems/all/9788536512266.jpg;;;;;90 dias;;99;;;;;;;
9788538028826;Por Favor, Dê-me um Abraço!;;Divirta-se com esse livro, uma linda história, ótimo para qualquer hora! - See more at: https://www.cirandacultural.com.br/produto/por-favor-de-me-um-abraco-456316#sthash.CrrYszPF.dpuf;nl;definir;10;0;2;20;20;15;0;9788538028826;;9788538028826;49019900;9788538028826;1;http://tamarindos.com.br/imagems/all/9788538028826.jpg;;;;;90 dias;;99;;;;;;;
9788538064572;Cidade e as Serras, A;;"Jacinto é um homem rico que vive cercado das comodidades da cidade e do luxo da alta sociedade parisiense. Apesar disso, Jacinto parece insatisfeito, o que é notado por seu melhor amigo, Zé Fernandes. Mas uma viagem a uma antiga propriedade da família no interior de Portugal parece despertar sentimentos novos em Jacinto. Acompanhe esta narrativa e mergulhe no mundo dos clássicos da literatura.

- See more at: https://www.cirandacultural.com.br/produto/cidade-e-as-serras-a-492345#sthash.eIfGD2fK.dpuf";nl;definir;10;0;2;20;20;15;0;9788538064572;;9788538064572;49019900;9788538064572;1;http://tamarindos.com.br/imagems/all/9788538064572.jpg;;;;;90 dias;;99;;;;;;;
9788538579267;Projeto Mais Cores - Educação Infantil - Grupo 3 – 2ª Ed. 2014;;Projeto Mais Cores - Educação Infantil - Grupo 3 – 2ª Ed. 2014;nl;definir;10;0;2;20;20;15;0;9788538579267;;9788538579267;49019900;9788538579267;1;http://tamarindos.com.br/imagems/all/9788538579267.jpg;;;;;90 dias;;99;;;;;;;
9788542200690;50 noites em tons de cinza - Elias, Laura ;;50 noites em tons de cinza - Elias, Laura ;nl;definir;10;0;2;20;20;15;0;9788542200690;;9788542200690;49019900;9788542200690;1;http://tamarindos.com.br/imagems/all/9788542200690.jpg;;;;;90 dias;;99;;;;;;;
9788560018079;"Arte Da Guerra (pocket) Vermelho

";"Arte Da Guerra (pocket) Vermelho

";O tratado de guerra em sua versão pocket completa e em língua portuguesa. 'A Arte da Guerra' deve ser a Bíblia da estratégia, sendo utilizada amplamente no mundo dos negócios, conquistando pessoas e mercados. Um de seus ensinamentos busca enfatizar a importância de conhecer o inimigo.;nl;definir;10;0;2;20;20;15;0;9788560018079;;9788560018079;49019900;9788560018079;1;http://tamarindos.com.br/imagems/all/9788560018079.jpg;;;;;90 dias;;99;;;;;;;
9788564065178;A DIETA GRACIE: O SEGREDO DOS CAMPEOES;A DIETA GRACIE: O SEGREDO DOS CAMPEOES;Neste livro, os membros família Gracie procuram mostrar as receitas da dieta que os acompanhou por mais de 65 anos. A obra traz os princípios da dieta e pretende ajudar o leitor a mudar os hábitos alimentares e combinar nutrientes para potencializar o valor energético.;nl;definir;10;0;2;20;20;15;0;9788564065178;;9788564065178;49019900;9788564065178;1;http://tamarindos.com.br/imagems/all/9788564065178.jpg;;;;;90 dias;;99;;;;;;;
9788575825013;COREL DRAW X4;COREL DRAW X4;Livro de informática, que pretende demostrar as utilidades, feramentas e funções do software CorelDRAW. Apresenta procedimentos passo a passo, ilustrações e exercícios.;nl;definir;10;0;2;20;20;15;0;9788575825013;;9788575825013;49019900;9788575825013;1;http://tamarindos.com.br/imagems/all/9788575825013.jpg;;;;;90 dias;;99;;;;;;;
9788578250379;ESTATISTICA NA AREA DA SAUDE;ESTATISTICA NA AREA DA SAUDE;"Este livro procurar trazer uma abordagem em entendimento dos conceitos e da metodologia estatística, além da interpretação de resultados, e não em contas ou desenvolvimentos teóricos; aplicações em diversos tipos de situações, ilustradas com dados reais e exemplos cuidadosamente selecionados da literatura; inclusão de exercícios para facilitar a fixação dos conceitos apresentados; conteúdo para auxiliar na leitura de periódicos e na análise de dados; bibliografia; informações sobre a prática computacional.";nl;definir;10;0;2;20;20;15;0;9788578250379;;9788578250379;49019900;9788578250379;1;http://tamarindos.com.br/imagems/all/9788578250379.jpg;;;;;90 dias;;99;;;;;;;
9788578551476;Maquetes E Miniaturas - Monte Sua Mini Cidade;;Nesta obra, o leitor poderá encontrar vários recursos para construção de uma mini cidade, com o passo a passo da montagem dos prédios, ruas, vegetação, peças decorativas. Os materiais utilizados são simples de manusear - papel, papelão, isopor, cola branca, além de embalagens descartadas no dia a dia, como caixinhas de suco, leite, creme dental, seguindo a tendência de reciclagem do lixo e proteção do meio ambiente.;nl;definir;10;0;2;20;20;15;0;9788578551476;;9788578551476;49019900;9788578551476;1;http://tamarindos.com.br/imagems/all/9788578551476.jpg;;;;;90 dias;;99;;;;;;;
9788581160603;ESCLEROTERAPIA - TRUQUES E DICAS;ESCLEROTERAPIA - TRUQUES E DICAS;Este livro foi desenhado com foco nos estudantes e profissionais de medicina. Esta obra apresenta a atualização de procedimentos médicos na área de angiologia e cirurgia vascular para tratamento de alterações do sistema venoso. O livro aborda as condutas terapêuticas nas lesões vasculares de acordo com seu tipo, localização, idade do paciente, proximidade com estruturas vitais e, algumas vezes, o dano estético e ou funcional que causam. Também descreve as diferentes modalidades de tratamento que têm sido utilizadas nas lesões vasculares. Esta edição tenta considerar os pacientes qm sua integralidade dentro do contexto social em que vivem. São 16 capítulos que foram escritos por profissionais que representam os estudiosos da área. O conteúdo é objetivo e acessível, o que facilita o interesse dos leitores. A elaboração desta obra foi possível devido a competência e comprometimento dos autores e organizadores. Os capítulos constituem a base da boa prática em escleroterapia venosa. O livro está atualizado para aplicação profissional, organizando as informações mais recentes desta área do saber, crescente e de impacto na medicina.;nl;definir;10;0;2;20;20;15;0;9788581160603;;9788581160603;49019900;9788581160603;1;http://tamarindos.com.br/imagems/all/9788581160603.jpg;;;;;90 dias;;99;;;;;;;
9788581580906;CDs - A Saúde É Possível;CDs - A Saúde É Possível;O mundo está mudando a passos gigantescos. A economia, as religiões, as relações pessoais, nossas prioridades, incluindo o nossos próprio planeta, não parecem os mesmos. Cada vez mais pessoas estão decididas e mudar, explorar novos caminhos, e, se você possui este livro em suas mãos, sem dúvida, é uma delas! Parabéns! Seja qual for a razão que te trouxe até aqui, siga adiante! Após o marco curativo do MMS, apresentamos o CDS. Um grande passo revolucionário no âmbito da saúde, uma solução incrível para ajudar o seu corpo a se prevenir e a superar desde o mais simples até os mais severos problemas de saúde. Seja você um médico em busca de novas opções para seus pacientes, terapias alternativas, ou um ser humano mais consciente quanto à sua saúde e a do seu próximo. O processo do CDS mudará sua vida!;nl;definir;10;0;2;20;20;15;0;9788581580906;;9788581580906;49019900;9788581580906;1;http://tamarindos.com.br/imagems/all/9788581580906.jpg;;;;;90 dias;;99;;;;;;;
