store|websites|attribute_set|type|sku|name|ncm|ean|loja|fornecedor|origem|lead_time|color|status|visibility|tax_class_id|volume_comprimento|volume_altura|volume_largura|description|short_description|price|special_price|cost|weight|qty|is_in_stock|store_id|product_type_id|marca
admin|base|Default|simple|Cromus_23700048|20  Bandejas Laminadas Fundo Do Mar R5 |48115129|7909107523333|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|40.4|5.9|33.4|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Fundo do Mar<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Azul|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Fundo do Mar<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Azul| 79.44 | 79.44 | 39.72 |2.7|39|1|0|simple|Cromus
admin|base|Default|simple|Cromus_23700121|20  Bandejas Laminadas Futebol R5 |48115129|7909107711730|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|40.4|5.9|33.4|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Futebol<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Verde|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Futebol<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Verde| 79.44 | 79.44 | 39.72 |2.7|105|1|0|simple|Cromus
admin|base|Default|simple|Cromus_23700064|20  Bandejas Laminadas Garage R5 |48115129|7909107536739|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|40.4|5.9|33.4|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Garage<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Preto, Amarelo|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Garage<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Preto, Amarelo| 79.44 | 79.44 | 39.72 |2.7|44|1|0|simple|Cromus
admin|base|Default|simple|Cromus_23700062|20  Bandejas Laminadas Hot Wheels R5 |48115129|7909107714618|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|40.4|5.9|33.4|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Hot Wheels<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Preto, Laranja|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Hot Wheels<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Preto, Laranja| 91.36 | 91.36 | 45.68 |2.7|25|1|0|simple|Cromus
admin|base|Default|simple|Cromus_23700068|20  Bandejas Laminadas Jardim Das Borboletas R4 |48115129|7909107536814|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|33.7|6.2|27.8|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para servir<br/>Dimensões: C 34 x L 28 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Jardim das Borboletas<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Azul, Lilas|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para servir<br/>Dimensões: C 34 x L 28 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Jardim das Borboletas<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Azul, Lilas| 62.16 | 62.16 | 31.08 |2.1|31|1|0|simple|Cromus
admin|base|Default|simple|Cromus_23700069|20  Bandejas Laminadas Jardim Das Borboletas R5 |48115129|7909107536838|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|40.4|5.9|33.4|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Jardim das Borboletas<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Lilas, Branco|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Jardim das Borboletas<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Lilas, Branco| 79.44 | 79.44 | 39.72 |2.7|49|1|0|simple|Cromus
admin|base|Default|simple|Cromus_23700130|20  Bandejas Laminadas Jardim Secreto R5 |48115129|7909107736146|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|40.4|5.9|33.4|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Jardim Secreto<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Rosa, Ouro|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Jardim Secreto<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Rosa, Ouro| 79.44 | 79.44 | 39.72 |2.7|96|1|0|simple|Cromus
admin|base|Default|simple|Cromus_23700066|20  Bandejas Laminadas Keep Calm R5 |48115129|7909107536777|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|40.4|5.9|33.4|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Keep Calm<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Colorido|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Keep Calm<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Colorido| 79.44 | 79.44 | 39.72 |2.7|23|1|0|simple|Cromus
admin|base|Default|simple|Cromus_23700082|20  Bandejas Laminadas Liso Branco R4 |48115129|7909107568808|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|33.7|6.2|27.8|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para servir<br/>Dimensões: C 34 x L 28 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Branco|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para servir<br/>Dimensões: C 34 x L 28 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Branco| 62.16 | 62.16 | 31.08 |2.1|54|1|0|simple|Cromus
admin|base|Default|simple|Cromus_23700083|20  Bandejas Laminadas Liso Branco R5 |48115129|7909107568822|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|40.4|5.9|33.4|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Branco|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Bandeja para Servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>Procure todos os nossos produtos para festa<br/><strong>material</strong>Papelão<br/><strong>cor</strong>Branco| 79.44 | 79.44 | 39.72 |2.7|40|1|0|simple|Cromus
